➜  Bachelor Arbeit LaTex git:(main) ✗ python Code/main.py
####################################################################################################
Training: 1WL+NN: sum
Cross-Validation Split 1/10:
        Epoch: 400,      Train Loss: -0.04377,   Train Acc: 55.0%,       Val Loss: 0.00253,      Val Acc: 42.7%
        Epoch: 450,      Train Loss: -0.04185,   Train Acc: 54.8%,       Val Loss: 0.0022,       Val Acc: 44.7%
        Epoch: 500,      Train Loss: -0.0454,    Train Acc: 55.3%,       Val Loss: 0.00224,      Val Acc: 46.0%
Cross-Validation Split 2/10:
        Epoch: 50,       Train Loss: -0.0212,    Train Acc: 52.7%,       Val Loss: 0.00292,      Val Acc: 41.3%
        Epoch: 100,      Train Loss: -0.007,     Train Acc: 50.9%,       Val Loss: 0.00285,      Val Acc: 44.0%
        Epoch: 150,      Train Loss: -0.02568,   Train Acc: 53.0%,       Val Loss: 0.00338,      Val Acc: 41.3%
        Epoch: 200,      Train Loss: -0.03498,   Train Acc: 54.4%,       Val Loss: 0.00333,      Val Acc: 42.0%
        Epoch: 250,      Train Loss: -0.03963,   Train Acc: 54.7%,       Val Loss: 0.00278,      Val Acc: 44.0%
        Epoch: 300,      Train Loss: -0.03736,   Train Acc: 54.7%,       Val Loss: 0.00302,      Val Acc: 43.3%
        Epoch: 350,      Train Loss: -0.03816,   Train Acc: 54.4%,       Val Loss: 0.00326,      Val Acc: 42.7%
        Epoch: 400,      Train Loss: -0.04243,   Train Acc: 55.0%,       Val Loss: 0.0026,       Val Acc: 44.7%
        Epoch: 450,      Train Loss: -0.03925,   Train Acc: 54.8%,       Val Loss: 0.00244,      Val Acc: 45.3%
        Epoch: 500,      Train Loss: -0.04402,   Train Acc: 55.1%,       Val Loss: 0.00269,      Val Acc: 44.7%
Cross-Validation Split 3/10:
        Epoch: 50,       Train Loss: -0.03143,   Train Acc: 54.2%,       Val Loss: 0.00317,      Val Acc: 39.3%
        Epoch: 100,      Train Loss: -0.03077,   Train Acc: 54.2%,       Val Loss: 0.00309,      Val Acc: 39.3%
        Epoch: 150,      Train Loss: -0.03499,   Train Acc: 54.7%,       Val Loss: 0.00353,      Val Acc: 39.3%
        Epoch: 200,      Train Loss: -0.0445,    Train Acc: 55.6%,       Val Loss: 0.0034,       Val Acc: 38.7%
        Epoch: 250,      Train Loss: -0.04838,   Train Acc: 55.9%,       Val Loss: 0.00373,      Val Acc: 38.0%
