        Epoch: 350,      Train Loss: -1.14235,   Train Acc: 99.4%,       Val Loss: -0.00682,     Val Acc: 47.7%
        Epoch: 375,      Train Loss: -1.1231,    Train Acc: 98.8%,       Val Loss: -0.00675,     Val Acc: 48.6%
        Epoch: 400,      Train Loss: -1.13371,   Train Acc: 99.1%,       Val Loss: -0.0087,      Val Acc: 52.3%
        Epoch: 425,      Train Loss: -1.12137,   Train Acc: 98.7%,       Val Loss: -0.00484,     Val Acc: 44.1%
        Epoch: 450,      Train Loss: -1.11449,   Train Acc: 98.4%,       Val Loss: -0.00492,     Val Acc: 45.9%
        Epoch: 475,      Train Loss: -1.12323,   Train Acc: 98.7%,       Val Loss: -0.00675,     Val Acc: 49.5%
        Epoch: 500,      Train Loss: -1.12921,   Train Acc: 98.9%,       Val Loss: -0.00665,     Val Acc: 46.8%
Cross-Validation Split 7/10:
        Epoch: 25,       Train Loss: -1.02869,   Train Acc: 95.2%,       Val Loss: -0.00986,     Val Acc: 55.9%
        Epoch: 50,       Train Loss: -1.06658,   Train Acc: 96.7%,       Val Loss: -0.00718,     Val Acc: 52.3%
        Epoch: 75,       Train Loss: -1.08905,   Train Acc: 97.6%,       Val Loss: -0.00811,     Val Acc: 53.2%
        Epoch: 100,      Train Loss: -1.10021,   Train Acc: 98.0%,       Val Loss: -0.0078,      Val Acc: 53.2%
        Epoch: 125,      Train Loss: -1.10374,   Train Acc: 98.0%,       Val Loss: -0.00563,     Val Acc: 47.7%
        Epoch: 150,      Train Loss: -1.11758,   Train Acc: 98.6%,       Val Loss: -0.00666,     Val Acc: 50.5%
        Epoch: 175,      Train Loss: -1.10161,   Train Acc: 98.0%,       Val Loss: -0.00519,     Val Acc: 46.8%
        Epoch: 200,      Train Loss: -1.10424,   Train Acc: 98.1%,       Val Loss: -0.00709,     Val Acc: 51.4%
        Epoch: 225,      Train Loss: -1.09,      Train Acc: 97.6%,       Val Loss: -0.00543,     Val Acc: 46.8%
        Epoch: 250,      Train Loss: -1.1243,    Train Acc: 98.8%,       Val Loss: -0.00623,     Val Acc: 48.6%
        Epoch: 275,      Train Loss: -1.12425,   Train Acc: 98.7%,       Val Loss: -0.00664,     Val Acc: 49.5%
        Epoch: 300,      Train Loss: -1.10924,   Train Acc: 98.2%,       Val Loss: -0.00722,     Val Acc: 51.4%
        Epoch: 325,      Train Loss: -1.11994,   Train Acc: 98.7%,       Val Loss: -0.00629,     Val Acc: 47.7%
        Epoch: 350,      Train Loss: -1.11577,   Train Acc: 98.4%,       Val Loss: -0.00571,     Val Acc: 47.7%
        Epoch: 375,      Train Loss: -1.0815,    Train Acc: 97.3%,       Val Loss: -0.00499,     Val Acc: 45.9%
        Epoch: 400,      Train Loss: -1.11322,   Train Acc: 98.4%,       Val Loss: -0.00623,     Val Acc: 49.5%
        Epoch: 425,      Train Loss: -1.10755,   Train Acc: 98.1%,       Val Loss: -0.0047,      Val Acc: 45.9%
