,pca,tsne,_step,_wandb,_runtime,_timestamp,max_accuracy,knn,lr,k_wl,seed,tags,model,k_fold,dataset,batch_size,gnn_kwargs,max_epochs,mlp_kwargs,num_repition,wl_convergence,encoding_kwargs,transformer_kwargs,Tags,name,run_id,num_epochs,val_accuracy,test_accuracy,num_epochs_std,val_accuracy_std,test_accuracy_std,train_accuracy,train_accuracy_std,jk,act,norm,device,dropout,act_first,num_layers,hidden_channels,embedding_dim,Shannon Diversity,1-WL Accuracy,dataset_names,wl_max_iterations,model_type
295,,,0.0,{'runtime': 443},444.2358829975128,1686231196.1227,,,0.06975967617853555,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Mean,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.02611919593567427, 'num_layers': 3}",5.0,False,{'embedding_dim': 64},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Mean: 08.06.2023 15:25:50,mj4hooao,107.63999938964844,75.86666870117188,70.55999755859375,3.2748889923095703,3.8229920864105225,4.7730536460876465,72.19259643554688,1.5139963626861572,,relu,batch_norm,cpu,0.02611919593567427,,3.0,,64.0,,,,,1-WL+NN
296,,,0.0,{'runtime': 5797},5797.767723560333,1686236377.2551064,,,0.07083270975007609,,42.0,sweep_gnn:basic_pool,GAT:Mean,10.0,NCI1,33.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.1906640524987443, 'act_first': False, 'num_layers': 5, 'hidden_channels': 64}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.06592550370129284, 'num_layers': 4}",5.0,False,,,sweep_gnn:basic_pool,GAT:Mean: 08.06.2023 15:22:58,k28il0qk,106.8000030517578,52.697296142578125,51.24574661254883,4.878106117248535,3.0735580921173096,3.4534876346588135,51.128265380859375,2.8449130058288574,cat,relu,batch_norm,cuda,0.06592550370129284,False,4.0,64.0,,,,,,GNN
297,,,0.0,{'runtime': 423},424.2184102535248,1686230736.2647622,,,0.057542243699194855,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.13675083170420624, 'num_layers': 3}",5.0,False,{'embedding_dim': 32},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max: 08.06.2023 15:18:30,ep6pv1nv,102.5,74.15554809570312,68.76000213623047,4.441226005554199,3.919124126434326,5.309060573577881,73.30863952636719,2.4643445014953613,,relu,batch_norm,cpu,0.13675083170420624,,3.0,,32.0,,,,,1-WL+NN
298,,,0.0,{'runtime': 337},337.45768690109253,1686230297.870432,,,0.06238525519667744,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Sum,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.04910556385063816, 'num_layers': 2}",5.0,False,{'embedding_dim': 16},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Sum: 08.06.2023 15:12:39,hcapahv7,102.16000366210938,75.35556030273438,71.23999786376953,3.8351755142211914,3.693265914916992,4.564995288848877,74.01728820800781,1.6745026111602783,,relu,batch_norm,cpu,0.04910556385063816,,2.0,,16.0,,,,,1-WL+NN
299,,,0.0,{'runtime': 4085},4086.605008125305,1686233631.321547,,,0.096403726404893,,42.0,sweep_gnn:basic_pool,GIN:Max,10.0,IMDB-BINARY,32.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.04223240820682357, 'act_first': False, 'num_layers': 5, 'hidden_channels': 64}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.00925140062279719, 'num_layers': 4}",5.0,False,,,sweep_gnn:basic_pool,GIN:Max: 08.06.2023 15:05:42,bzfa5q3g,107.0999984741211,64.26667022705078,62.02000045776367,2.332118272781372,7.928122997283936,8.059700965881348,62.92839431762695,6.590366363525391,cat,relu,batch_norm,cpu,0.00925140062279719,False,4.0,64.0,,,,,,GNN
300,,,0.0,{'runtime': 1875},1875.8458280563352,1686231349.335969,,,0.02531645788519792,,42.0,sweep_gnn:basic_pool,GIN:Sum,10.0,IMDB-BINARY,32.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.14054999116227462, 'act_first': False, 'num_layers': 5, 'hidden_channels': 16}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.18994062978365683, 'num_layers': 4}",5.0,False,,,sweep_gnn:basic_pool,GIN:Sum: 08.06.2023 15:04:31,m541ivs5,94.68000030517578,73.88888549804688,68.76000213623047,3.5250706672668457,5.430566310882568,4.983892440795898,71.39259338378906,3.7373993396759033,cat,relu,batch_norm,cpu,0.18994062978365683,False,4.0,16.0,,,,,,GNN
301,,,0.0,{'runtime': 583},583.8975758552551,1686229946.9671109,,,0.05183398302425598,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Mean,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.1858658104420425, 'num_layers': 5}",5.0,False,{'embedding_dim': 128},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Mean: 08.06.2023 15:02:42,gllxj3z7,101.1999969482422,73.97777557373047,69.0999984741211,3.282607316970825,6.377279281616211,5.515285015106201,70.36296081542969,3.8084137439727783,,relu,batch_norm,cpu,0.1858658104420425,,5.0,,128.0,,,,,1-WL+NN
302,,,0.0,{'runtime': 404},405.3838927745819,1686229350.5750048,,,0.054946674363182985,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Sum,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.09928333832432788, 'num_layers': 3}",5.0,False,{'embedding_dim': 64},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Sum: 08.06.2023 14:55:44,gc3j6037,101.5199966430664,75.44445037841797,70.45999908447266,3.0387966632843018,3.479414224624634,4.091853618621826,72.50617218017578,1.6821091175079346,,relu,batch_norm,cpu,0.09928333832432788,,3.0,,64.0,,,,,1-WL+NN
303,,,0.0,{'runtime': 497},497.9585349559784,1686228932.844353,,,0.08090194441070923,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.030355449672144232, 'num_layers': 5}",5.0,False,{'embedding_dim': 16},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max: 08.06.2023 14:47:13,vn037t19,106.8000030517578,72.5777816772461,67.83999633789062,3.3073818683624268,4.172158241271973,5.003509044647217,70.96296691894531,2.837588310241699,,relu,batch_norm,cpu,0.030355449672144232,,5.0,,16.0,,,,,1-WL+NN
304,,,0.0,{'runtime': 321},321.59742188453674,1686228419.7816,,,0.04773648803001804,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Sum,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.041122605590137834, 'num_layers': 2}",5.0,False,{'embedding_dim': 16},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Sum: 08.06.2023 14:41:37,32qqdm96,101.55999755859376,75.62222290039062,70.87999725341797,3.907919645309448,3.650172472000122,4.283999443054199,73.66172790527344,1.9495694637298584,,relu,batch_norm,cpu,0.041122605590137834,,2.0,,16.0,,,,,1-WL+NN
305,,,0.0,{'runtime': 391},391.5496459007263,1686228083.794354,,,0.07987238015743926,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Mean,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.1921532057932195, 'num_layers': 2}",5.0,False,{'embedding_dim': 128},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Mean: 08.06.2023 14:34:51,wkh1vthe,107.72000122070312,74.80000305175781,69.63999938964844,3.859998941421509,3.9805521965026855,4.737001419067383,71.37531280517578,1.8698227405548096,,relu,batch_norm,cpu,0.1921532057932195,,2.0,,128.0,,,,,1-WL+NN
306,,,0.0,{'runtime': 4188},4189.435984611511,1686231689.7960176,,,0.09419764446518364,,42.0,sweep_gnn:basic_pool,GCN:Mean,10.0,NCI1,33.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.007505143225093236, 'act_first': False, 'num_layers': 5, 'hidden_channels': 64}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.14556129156791509, 'num_layers': 2}",5.0,False,,,sweep_gnn:basic_pool,GCN:Mean: 08.06.2023 14:31:38,l2xc6511,106.73999786376952,60.17837905883789,58.4622917175293,3.231288433074951,6.376762866973877,6.917020797729492,59.097633361816406,6.391214370727539,cat,relu,batch_norm,cuda,0.14556129156791509,False,2.0,64.0,,,,,,GNN
307,,,0.0,{'runtime': 4674},4674.734924316406,1686232059.7617743,,,0.06957774367061027,,42.0,sweep_gnn:basic_pool,GCN:Sum,10.0,NCI1,33.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.1950002321726242, 'act_first': False, 'num_layers': 5, 'hidden_channels': 64}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.15705424149388178, 'num_layers': 3}",5.0,False,,,sweep_gnn:basic_pool,GCN:Sum: 08.06.2023 14:29:43,qp95guzt,108.87999725341795,65.75135040283203,64.25303649902344,4.34548807144165,2.293345212936402,2.531805992126465,64.36347961425781,1.2841743230819702,cat,relu,batch_norm,cuda,0.15705424149388178,False,3.0,64.0,,,,,,GNN
308,,,0.0,{'runtime': 362},363.43124508857727,1686227676.248626,,,0.02271857688879659,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Mean,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.12011699950845318, 'num_layers': 3}",5.0,False,{'embedding_dim': 16},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Mean: 08.06.2023 14:28:31,1idlq94q,95.77999877929688,75.44444274902344,71.16000366210938,4.320289134979248,3.947565078735352,3.9762561321258545,73.91851806640625,1.69840669631958,,relu,batch_norm,cpu,0.12011699950845318,,3.0,,16.0,,,,,1-WL+NN
309,,,0.0,{'runtime': 4039},4040.1382451057434,1686231213.7294562,,,0.017712535744288094,,42.0,sweep_gnn:basic_pool,GIN:Max,10.0,NCI1,33.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.13990115125281571, 'act_first': False, 'num_layers': 5, 'hidden_channels': 64}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.18710734427166256, 'num_layers': 2}",5.0,False,,,sweep_gnn:basic_pool,GIN:Max: 08.06.2023 14:26:12,l2w5sxfx,95.62000274658205,58.89189529418945,58.23844909667969,2.431846618652344,3.996931791305542,3.9629974365234375,58.201263427734375,3.418009996414185,cat,relu,batch_norm,cuda,0.18710734427166256,False,2.0,64.0,,,,,,GNN
310,,,0.0,{'runtime': 381},381.88938093185425,1686227297.321038,,,0.057723997142848434,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Mean,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.03473074979332147, 'num_layers': 3}",5.0,False,{'embedding_dim': 32},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Mean: 08.06.2023 14:21:54,l92073z5,101.22000122070312,75.53334045410156,70.23999786376953,3.638176202774048,3.8912527561187744,4.401113033294678,72.5999984741211,1.8022946119308472,,relu,batch_norm,cpu,0.03473074979332147,,3.0,,32.0,,,,,1-WL+NN
311,,,0.0,{'runtime': 3769},3769.8633694648743,1686230556.0125844,,,0.03057212950334227,,42.0,sweep_gnn:basic_pool,GCN:Max,10.0,NCI1,33.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.1044678729043772, 'act_first': False, 'num_layers': 5, 'hidden_channels': 64}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.14307489824808883, 'num_layers': 3}",5.0,False,,,sweep_gnn:basic_pool,GCN:Max: 08.06.2023 14:19:44,at8wdga4,94.36000061035156,54.05405807495117,53.250606536865234,3.1217472553253174,3.0021631717681885,2.5913150310516357,53.189544677734375,2.0364110469818115,cat,relu,batch_norm,cuda,0.14307489824808883,False,3.0,64.0,,,,,,GNN
312,,,0.0,{'runtime': 2729},2730.6044318675995,1686229454.821055,,,0.02546566264555654,,42.0,sweep_gnn:basic_pool,GIN:Max,10.0,IMDB-BINARY,32.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.19703620947932343, 'act_first': False, 'num_layers': 5, 'hidden_channels': 64}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.07599174796151449, 'num_layers': 5}",5.0,False,,,sweep_gnn:basic_pool,GIN:Max: 08.06.2023 14:18:42,ayfoyaf7,95.5,73.73332977294922,68.95999908447266,3.4773318767547607,4.045346260070801,4.52187442779541,71.06666564941406,2.764042377471924,cat,relu,batch_norm,cpu,0.07599174796151449,False,5.0,64.0,,,,,,GNN
313,,,0.0,{'runtime': 351},351.92029428482056,1686226901.4980962,,,0.01718790760407821,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Mean,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.19496494185883984, 'num_layers': 3}",5.0,False,{'embedding_dim': 16},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Mean: 08.06.2023 14:15:48,qzdnfoiz,94.9800033569336,75.9333267211914,71.44000244140625,2.637949228286743,3.5677928924560547,4.853611946105957,74.57530975341797,1.6327815055847168,,relu,batch_norm,cpu,0.19496494185883984,,3.0,,16.0,,,,,1-WL+NN
314,,,0.0,{'runtime': 491},492.51089906692505,1686226533.839057,,,0.057372841086874904,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Sum,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.1655297569846269, 'num_layers': 5}",5.0,False,{'embedding_dim': 64},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Sum: 08.06.2023 14:07:20,vir1ev1x,102.26000213623048,74.44444274902344,69.23999786376953,3.6690096855163574,5.539659023284912,5.56431770324707,70.98518371582031,3.4134609699249268,,relu,batch_norm,cpu,0.1655297569846269,,5.0,,64.0,,,,,1-WL+NN
315,,,0.0,{'runtime': 5375},5376.205220937729,1686231027.117575,,,0.0002710194167602541,1.0,42.0,,GIN:Max,10.0,NCI1,33.0,,200.0,,,False,,,sweep_gnn:basic_pool,GIN:Max: 08.06.2023 14:00:49,eyjd6t6c,57.779998779296875,78.84864807128906,77.3138656616211,1.5556349754333496,2.5702860355377197,2.24215316772461,83.48452758789062,1.596487522125244,cat,relu,batch_norm,cpu,0.024331698859625252,False,4.0,128.0,,,,,,GNN
316,,,0.0,{'runtime': 507},507.9468779563904,1686226030.155309,,,0.07439416764119573,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.03502116238271398, 'num_layers': 4}",5.0,False,{'embedding_dim': 64},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max: 08.06.2023 13:58:41,ohppgw3v,106.9000015258789,72.53333282470703,67.12000274658203,3.183182954788208,4.523335933685303,5.762794017791748,70.22469329833984,2.967651128768921,,relu,batch_norm,cpu,0.03502116238271398,,4.0,,64.0,,,,,1-WL+NN
317,,,0.0,{'runtime': 352},353.2652440071106,1686225507.614881,,,0.007723726844666873,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.09557405122166318, 'num_layers': 4}",5.0,False,{'embedding_dim': 16},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max: 08.06.2023 13:52:33,w6ufpgi0,82.55999755859375,72.82221984863281,67.62000274658203,3.682058095932007,3.915264844894409,4.232479095458984,74.34320068359375,2.741661310195923,,relu,batch_norm,cpu,0.09557405122166318,,4.0,,16.0,,,,,1-WL+NN
318,,,0.0,{'runtime': 395},396.24031615257263,1686225142.34589,,,0.02552036679064538,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.1024388183698746, 'num_layers': 3}",5.0,False,{'embedding_dim': 32},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max: 08.06.2023 13:45:45,22g7vajd,96.4000015258789,74.24445343017578,68.83999633789062,5.525451183319092,3.9631075859069824,3.8511064052581783,74.0567855834961,2.707791805267334,,relu,batch_norm,cpu,0.1024388183698746,,3.0,,32.0,,,,,1-WL+NN
319,,,0.0,{'runtime': 1992},1993.757600069046,1686226705.1671832,,,0.06047688271019238,,42.0,sweep_gnn:basic_pool,GIN:Mean,10.0,IMDB-BINARY,32.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.19710800243944837, 'act_first': False, 'num_layers': 5, 'hidden_channels': 16}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.12309823053322735, 'num_layers': 4}",5.0,False,,,sweep_gnn:basic_pool,GIN:Mean: 08.06.2023 13:45:05,4783da56,101.12000274658205,74.31111145019531,69.63999938964844,2.9598677158355713,3.553854465484619,5.294433116912842,71.6716079711914,2.32913875579834,cat,relu,batch_norm,cpu,0.12309823053322735,False,4.0,16.0,,,,,,GNN
320,,,0.0,{'runtime': 493},494.1515669822693,1686224732.507688,,,0.08370332029917117,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Sum,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.1697153816539012, 'num_layers': 5}",5.0,False,{'embedding_dim': 16},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Sum: 08.06.2023 13:37:17,f4ewdioi,106.94000244140624,75.51111602783203,70.22000122070312,3.033217430114746,3.0446407794952393,5.080133438110352,71.98518371582031,1.5342586040496826,,relu,batch_norm,cpu,0.1697153816539012,,5.0,,16.0,,,,,1-WL+NN
321,,,0.0,{'runtime': 493},494.0292909145355,1686224226.803211,,,0.01971794260376357,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Sum,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.021811727911349624, 'num_layers': 5}",5.0,False,{'embedding_dim': 128},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Sum: 08.06.2023 13:28:51,yq8ohaao,95.5,75.28888702392578,70.91999816894531,3.8874471187591553,3.6512067317962646,4.7716851234436035,72.23950958251953,1.6610369682312012,,relu,batch_norm,cpu,0.021811727911349624,,5.0,,128.0,,,,,1-WL+NN
322,,,0.0,{'runtime': 511},512.2365260124207,1686223718.417043,,,0.08226897180956336,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.058288931429842754, 'num_layers': 5}",5.0,False,{'embedding_dim': 32},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max: 08.06.2023 13:20:05,lb8ctxdm,107.0199966430664,71.95555877685547,67.44000244140625,4.088261127471924,4.14258337020874,4.581061363220215,70.3456802368164,2.8441579341888428,,relu,batch_norm,cpu,0.058288931429842754,,5.0,,32.0,,,,,1-WL+NN
323,,,0.0,{'runtime': 3973},3974.0032453536983,1686227155.6465733,,,0.03510616075523434,,42.0,sweep_gnn:basic_pool,GCN:Mean,10.0,NCI1,33.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.07018428153787488, 'act_first': False, 'num_layers': 5, 'hidden_channels': 128}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.0871558184050154, 'num_layers': 2}",5.0,False,,,sweep_gnn:basic_pool,GCN:Mean: 08.06.2023 13:19:41,o6l64l2y,100.73999786376952,61.4054069519043,59.56690979003906,2.841456890106201,5.955214977264404,5.44536828994751,60.170623779296875,5.239058494567871,cat,relu,batch_norm,cuda,0.0871558184050154,False,2.0,128.0,,,,,,GNN
324,,,0.0,{'runtime': 4299},4300.427118778229,1686227482.0985787,,,0.041442550694593176,,42.0,sweep_gnn:basic_pool,GCN:Max,10.0,NCI1,33.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.10732393408760817, 'act_first': False, 'num_layers': 5, 'hidden_channels': 128}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.18471659844680863, 'num_layers': 5}",5.0,False,,,sweep_gnn:basic_pool,GCN:Max: 08.06.2023 13:19:41,5qt9jfud,100.31999969482422,54.0973014831543,52.588809967041016,2.8957393169403076,2.843733787536621,3.0991621017456055,52.88795852661133,2.071425676345825,cat,relu,batch_norm,cuda,0.18471659844680863,False,5.0,128.0,,,,,,GNN
325,,,0.0,{'runtime': 3580},3581.6524362564087,1686226763.8800712,,,0.052372341492063094,,42.0,sweep_gnn:basic_pool,GIN:Max,10.0,NCI1,33.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.1015700686749793, 'act_first': False, 'num_layers': 5, 'hidden_channels': 32}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.15240951877983833, 'num_layers': 2}",5.0,False,,,sweep_gnn:basic_pool,GIN:Max: 08.06.2023 13:19:41,myf0ajl8,103.0,62.216217041015625,60.94404220581055,3.7958085536956783,2.7470169067382812,3.386847496032715,61.051368713378906,2.428811550140381,cat,relu,batch_norm,cuda,0.15240951877983833,False,2.0,32.0,,,,,,GNN
326,,,0.0,{'runtime': 4180},4181.944214344025,1686227364.3935363,,,0.06457050702668402,,42.0,sweep_gnn:basic_pool,GCN:Sum,10.0,NCI1,33.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.12680139910007046, 'act_first': False, 'num_layers': 5, 'hidden_channels': 128}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.08808519994485527, 'num_layers': 2}",5.0,False,,,sweep_gnn:basic_pool,GCN:Sum: 08.06.2023 13:19:41,gc88grfi,101.12000274658205,65.26486206054688,63.80535125732422,3.6119980812072754,4.524872779846191,3.833385705947876,64.1928482055664,3.1225013732910156,cat,relu,batch_norm,cuda,0.08808519994485527,False,2.0,128.0,,,,,,GNN
327,,,0.0,{'runtime': 455},456.0309598445892,1686223191.0431628,,,0.05200834443624991,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Mean,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.0964019082765879, 'num_layers': 5}",5.0,False,{'embedding_dim': 16},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Mean: 08.06.2023 13:12:13,gu9ai265,101.58000183105467,75.26666259765625,69.80000305175781,3.2707111835479736,3.490692138671875,4.125579833984375,72.3283920288086,1.7787728309631348,,relu,batch_norm,cpu,0.0964019082765879,,5.0,,16.0,,,,,1-WL+NN
328,,,0.0,{'runtime': 563},563.7509889602661,1686222722.581407,,,0.01129413207126864,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.1963704518789588, 'num_layers': 4}",5.0,False,{'embedding_dim': 128},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max: 08.06.2023 13:02:37,gkrmj34f,89.9800033569336,73.68888854980469,68.87999725341797,3.633685827255249,3.838776826858521,4.231273174285889,74.03950500488281,2.855404853820801,,relu,batch_norm,cpu,0.1963704518789588,,4.0,,128.0,,,,,1-WL+NN
329,,,0.0,{'runtime': 7371},7371.997596979141,1686229521.4663649,,,0.05290011793037469,,42.0,sweep_gnn:basic_pool,GCN:Mean,10.0,IMDB-BINARY,32.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.16859991766869878, 'act_first': False, 'num_layers': 5, 'hidden_channels': 128}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.10872362517167455, 'num_layers': 4}",5.0,False,,,sweep_gnn:basic_pool,GCN:Mean: 08.06.2023 13:02:27,1ul942j6,99.33999633789062,70.60000610351562,67.37999725341797,2.3613381385803223,9.356224060058594,7.834747314453125,68.38272094726562,7.110373020172119,cat,relu,batch_norm,cpu,0.10872362517167455,False,4.0,128.0,,,,,,GNN
330,,,0.0,{'runtime': 2707},2708.347421169281,1686224686.2015622,,,0.045523279706393714,,42.0,sweep_gnn:basic_pool,GIN:Max,10.0,IMDB-BINARY,32.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.05203735944882886, 'act_first': False, 'num_layers': 5, 'hidden_channels': 64}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.19907873170674195, 'num_layers': 2}",5.0,False,,,sweep_gnn:basic_pool,GIN:Max: 08.06.2023 12:59:36,v4lag089,99.1999969482422,72.55554962158203,68.94000244140625,1.9794865846633911,7.418830871582031,6.40283727645874,71.56295776367188,5.876462936401367,cat,relu,batch_norm,cpu,0.19907873170674195,False,2.0,64.0,,,,,,GNN
331,,,0.0,{'runtime': 741},741.7335729598999,1686222146.179007,,,0.06872609090395207,1.0,42.0,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max,10.0,IMDB-BINARY,32.0,,200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.01999746368110078, 'num_layers': 4}",5.0,False,{'embedding_dim': 64},,sweep_wlnn:basic_pool,1WL+NN:Embedding-Max: 08.06.2023 12:50:03,g9tav79y,107.72000122070312,72.88888549804688,67.73999786376953,4.281140327453613,4.306241512298584,4.852140426635742,71.09876251220703,2.7437655925750732,,relu,batch_norm,cpu,0.01999746368110078,,4.0,,64.0,,,,,1-WL+NN
332,,,0.0,{'runtime': 2345},2346.0779252052307,1686222470.6670122,,,0.02535955710689818,,42.0,sweep_gnn:basic_pool,GIN:Mean,10.0,IMDB-BINARY,32.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.11763334014080572, 'act_first': False, 'num_layers': 5, 'hidden_channels': 64}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.06046965345879321, 'num_layers': 5}",5.0,False,,,sweep_gnn:basic_pool,GIN:Mean: 08.06.2023 12:28:43,msv6v71n,95.16000366210938,74.75555419921875,70.18000030517578,3.3219122886657715,3.816395998001098,4.914327144622803,71.60740661621094,2.7027883529663086,cat,relu,batch_norm,cpu,0.06046965345879321,False,5.0,64.0,,,,,,GNN
333,,,0.0,{'runtime': 2631},2632.0166988372803,1686222128.519723,,,0.0457005663781641,,42.0,sweep_gnn:basic_pool,GCN:Mean,10.0,IMDB-BINARY,32.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.05911629664890916, 'act_first': False, 'num_layers': 5, 'hidden_channels': 16}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.04434969651351733, 'num_layers': 4}",5.0,False,,,sweep_gnn:basic_pool,GCN:Mean: 08.06.2023 12:18:14,29b7m2a5,99.83999633789062,76.0,71.4800033569336,2.7947473526000977,3.5634829998016357,4.9166107177734375,73.37283325195312,2.1651415824890137,cat,relu,batch_norm,cpu,0.04434969651351733,False,4.0,16.0,,,,,,GNN
